genre	artist_name	track_name	track_id	popularity
Rap	Post Malone	Too Young	4SYUUlkScpNR1QvPscXf8t	76
Dance	Ariana Grande	R.E.M	1xWH8zYtDeS9mW1JJG23VZ	77
Dance	Ariana Grande	bloodline	2hloaUoRonYssMuqLCBLTX	91
Pop	H.E.R.	Best Part (feat. Daniel Caesar)	4OBZT9EnhYIV17t4pGw7ig	85
Pop	Mac Miller	Weekend (feat. Miguel)	6GnhWMhgJb7uyiiPEiEkDA	77
Pop	Becky G	Cuando Te Bes�	2XXMDz7SPZ4mSFN1PXfHUy	87
Rock	Smash Mouth	All Star	3cfOd4CMv2snFaKAnMdnvK	82
Pop	Reik	Amigos Con Derechos	2zDj4WjbNDmrRL6Z4YjjCA	86
Pop	Charlie Puth	The Way I Am	6qNALlmZa1ESnCxJmXE1K9	76
Hip-Hop	J. Cole	Wet Dreamz	6Ius4TC0L3cN74HT7ENE6e	81
Pop	Panic! At The Disco	This Is Gospel	3yZQk5PC52CCmT4ZaTIKvv	76
Pop	Ariana Grande	Break Free	12KUFSHFgT0XCoiSlvdQi4	78
Pop	Sabrina Carpenter	Sue Me	3WVhkjB7Y4xFruqoCAajBb	80
Pop	Jack �	Where Are � Now (with Justin Bieber)	66hayvUbTotekKU3H4ta1f	77
Hip-Hop	Logic	44 More	3e7Y6sfFlIdBMJhX7wpqVO	78
Rock	Tom Walker	Leave a Light On	6lOWoTqVnAWXchddtTH31W	81
Rap	J. Cole	ATM	2UciqgwVDwro0fev3MFbxJ	77
Hip-Hop	Kevin Roldan	PPP - Remix	3jOn1ZdPldABfKQY4JBhov	80
Dance	Julia Michaels	Jump (with Trippie Redd)	2OvV4NjEBRE9v8Oo7QeUCq	77
Pop	Selena Gomez	Wolves	0tBbt8CrmxbjRP0pueQkyU	86
Hip-Hop	Playboi Carti	Magnolia	1e1JKLEDKP7hEQzJfNAgPl	77
Pop	Bruno Mars	That's What I Like	0KKkJNfGyhkQ5aFogxQAPU	85
Dance	Demi Lovato	Sorry Not Sorry	3Du2K5dLzmduCNp6uwuaL0	82
Pop	Sebastian Yatra	Por Perro	1XM5PgxjpYcF0JuE9nfUbS	76
Dance	Luis Fonsi	Imposible	3ao3OVxHlb3C08vAaApUlm	88
Hip-Hop	Eminem	The Ringer	2jt2WxXMCD4zjACthkJQVE	81
Hip-Hop	Bryson Tiller	Don't	3pXF1nA74528Edde4of9CC	79
Pop	Travis Scott	NO BYSTANDERS	6OaVWaGfhXn70ZJfdVcabn	78
Rock	Metallica	Atlas, Rise!	7uSx9pDbxfFsXPyZ4pOm7H	1
Dance	Beyonc�	Run the World (Girls)	1uXbwHHfgsXcUKfSZw5ZJ0	76
Dance	David Guetta	Don't Leave Me Alone (feat. Anne-Marie)	2lYTJK94hb0fd1LQtb6Dhk	79
Pop	Zedd	365	2XWjPtKdi5sucFYtVav07d	88
Hip-Hop	Jason Derulo	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	6kex4EBAj0WHXDKZMEJaaF	81
Rap	6ix9ine	BILLY	5KhFaq45chTw8RGfWo8T8J	79
Rap	NF	Let You Down	52okn5MNA47tk87PeZJLEL	84
Rap	Pardison Fontaine	Backin' It Up (feat. Cardi B)	0PpfPNtQOOvbMNVJijTQj0	79
Pop	Kenny Man	Ni Gucci Ni Prada - Remix	3EwnwCYCO2mnCoYj5NLhER	77
Pop	Flo Rida	Wild Ones (feat. Sia)	1NpW5kyvO4XrNJ3rnfcNy3	77
Dance	Lady Gaga	Shallow	2VxeLyX666F8uXCJ0dZF8B	95
Hip-Hop	Nio Garcia	Te Bot� - Remix	3V8UKqhEK5zBkBb6d6ub8i	87
Hip-Hop	Ty Dolla $ign	Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix	7t2bFihaDvhIrd2gn2CWJO	1
Hip-Hop	21 Savage	ball w/o you	50a8bKqlwDEqeiEknrzkTO	76
Pop	DJ Khaled	No Brainer	5WvAo7DNuPRmk4APhdPzi8	84
Hip-Hop	21 Savage	X (feat. Future)	6fwdbPMwP1zVStm8FybmkO	77
Rap	Post Malone	Better Now	7dt6x5M1jzdTEt8oCbisTK	93
Rock	OneRepublic	Connection	3T4UodGkfZObJ43RtA5KFU	78
Rock	Commodores	Easy	1JQ6Xm1JrvHfvAqhl5pwaA	76
Rock	James Blunt	You're Beautiful	0vg4WnUWvze6pBOJDTq99k	78
Pop	Grouplove	Tongue Tied	0GO8y8jQk1PkHzS31d699N	80
Rock	Snow Patrol	Chasing Cars	11bD1JtSjlIgKgZG2134DZ	78
Pop	Fifth Harmony	Worth It	41Fflg7qHiVOD6dEPvsCzO	76
Pop	Kygo	Happy Now	14sOS5L36385FJ3OL8hew4	88
Pop	Rita Ora	Only Want You	2CTN6UuO2dNEVZXR0DJVk2	79
Hip-Hop	Aleman	Ruc�n	6TDtGJSk3MDTnM6nTDu5Zu	76
Hip-Hop	Kodak Black	If I'm Lyin, I'm Flyin	7HdNB8nvJOBwHa8hIkzvxp	1
Dance	Louis Tomlinson	Back to You (feat. Bebe Rexha & Digital Farm Animals)	7F9vK8hNFMml4GtHsaXui6	76
Rap	Usher	U Remind Me	2QsZVnbWVSjKMXK6K3uRBL	76
